year,field,variety,trees,planted,size,irrigation,spacing,Tyield,TperH,Hyield,TreeYield
2004,F24,816,1032,Oct-99,3,overhead,7_3.5,1061.7,344,353.90,1.02877907
2004,F121,344,458,Apr-91,1.2,micro,9_3,3351,382,2792.50,7.316593886
2004,F26,695,458,Jul-00,1.5,dry,8_4,760,305,506.67,1.659388646
2004,F72,344_A2,429,Jul-99,3,micro,7_3.5,2362.3,143,787.43,5.506526807
2004,F85,695,800,Nov-98,2.3,dry,5_2.5,1886.6,348,820.26,2.35825
2004,F84,695,480,Nov-98,1.5,dry,5_2.5,1263,320,842.00,2.63125
2004,Trial,mix,294,Jan-00,1,dry,5_2.5,83,294,83.00,0.282312925
2004,F73,695,100,Aug-99,1.3,micro,9_3,1005.6,77,773.54,10.056
2005,F24,816,1032,Oct-99,3,overhead,7_3.5,1061,344,353.67,1.028100775
2005,F121,344,458,Apr-91,1.2,micro,9_3,3351,382,2792.50,7.316593886
2005,F122,344,838,Jul-00,3,micro,9_3,0,279,0.00,0
2005,F26,695,458,Jul-00,1.5,dry,8_4,760,305,506.67,1.659388646
2005,F27,788,488,Jul-00,1.5,dry,7_3.5,0,325,0.00,0
2005,F12,344,399,Feb-01,2,micro,9_3,0,200,0.00,0
2005,F72,344_A2,429,Jul-99,3,micro,7_3.5,2362,143,787.33,5.505827506
2005,F85,695,800,Nov-98,2.3,dry,5_2.5,1186,348,515.65,1.4825
2005,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,0,317,0.00,0
2005,F84,695,480,Nov-98,1.5,dry,5_2.5,1263,320,842.00,2.63125
2005,Trial,mix,294,Jan-00,1,dry,5_2.5,83,294,83.00,0.282312925
2005,F73,695,100,Aug-99,1.3,micro,9_3,1005,77,773.08,10.05
2006,F24,816,1032,Oct-99,3,overhead,7_3.5,4975.76,344,1658.59,4.821472868
2006,F121,344,458,Apr-91,1.2,micro,9_3,6717.86,382,5598.22,14.66781659
2006,F122,344,838,Jul-00,3,micro,9_3,948.21,279,316.07,1.131515513
2006,F26,695,458,Jul-00,1.5,dry,8_4,3058.2,305,2038.80,6.677292576
2006,F27,788,488,Jul-00,1.5,dry,7_3.5,612.71,325,408.47,1.255553279
2006,F12,344,399,Feb-01,2,micro,9_3,573.4,200,286.70,1.437092732
2006,F72,344_A2,429,Jul-99,3,micro,7_3.5,6974.2,143,2324.73,16.25687646
2006,F85,695,800,Nov-98,2.3,dry,5_2.5,4783.7,348,2079.87,5.979625
2006,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,1851.8,317,529.09,1.671299639
2006,F81,741_816,187,Jul-00,1.2,dry,8_4,1053,156,877.50,5.631016043
2006,F84,695,480,Nov-98,1.5,dry,5_2.5,4196.6,320,2797.73,8.742916667
2006,Trial,mix,294,Jan-00,1,dry,5_2.5,896.56,294,896.56,3.04952381
2006,F73,695,100,Aug-99,1.3,micro,9_3,1173.7,77,902.85,11.737
2007,F24,816,1032,Oct-99,3,overhead,7_3.5,3657,344,1219.00,3.543604651
2007,F121,344,458,Apr-91,1.2,micro,9_3,7198,382,5998.33,15.71615721
2007,F122,344,838,Jul-00,3,micro,9_3,2007,279,669.00,2.394988067
2007,F26,695,458,Jul-00,1.5,dry,8_4,2074,305,1382.67,4.528384279
2007,F27,788,488,Jul-00,1.5,dry,7_3.5,1687,325,1124.67,3.456967213
2007,F12,344,399,Feb-01,2,micro,9_3,504,200,252.00,1.263157895
2007,F72,344_A2,429,Jul-99,3,micro,7_3.5,5590,143,1863.33,13.03030303
2007,F85,695,800,Nov-98,2.3,dry,5_2.5,4431,348,1926.52,5.53875
2007,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,3929,317,1122.57,3.546028881
2007,F81,741_816,187,Jul-00,1.2,dry,8_4,1099,156,915.83,5.877005348
2007,F84,695,480,Nov-98,1.5,dry,5_2.5,2479,320,1652.67,5.164583333
2007,Trial,mix,294,Jan-00,1,dry,5_2.5,1051,294,1051.00,3.574829932
2007,F73,695,100,Aug-99,1.3,micro,9_3,918,77,706.15,9.18
2008,F24,816,1032,Oct-99,3,overhead,7_3.5,6825,344,2275.00,6.613372093
2008,F121,344,458,Apr-91,1.2,micro,9_3,5774,382,4811.67,12.6069869
2008,F122,344,838,Jul-00,3,micro,9_3,3398,279,1132.67,4.054892601
2008,F26,695,458,Jul-00,1.5,dry,8_4,3564,305,2376.00,7.781659389
2008,F27,788,488,Jul-00,1.5,dry,7_3.5,1986,325,1324.00,4.069672131
2008,F12,344,399,Feb-01,2,micro,9_3,1526,200,763.00,3.824561404
2008,F72,344_A2,429,Jul-99,3,micro,7_3.5,10956,143,3652.00,25.53846154
2008,F85,695,800,Nov-98,2.3,dry,5_2.5,8836,348,3841.74,11.045
2008,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,7385,317,2110.00,6.665162455
2008,F81,741_816,187,Jul-00,1.2,dry,8_4,1931,156,1609.17,10.32620321
2008,F84,695,480,Nov-98,1.5,dry,5_2.5,6382,320,4254.67,13.29583333
2008,Trial,mix,294,Jan-00,1,dry,5_2.5,1687,294,1687.00,5.738095238
2008,F73,695,100,Aug-99,1.3,micro,9_3,1890,77,1453.85,18.9
2009,F24,816,1032,Oct-99,3,overhead,7_3.5,8320,344,2773.33,8.062015504
2009,F121,344,458,Apr-91,1.2,micro,9_3,7309,382,6090.83,15.95851528
2009,F122,344,838,Jul-00,3,micro,9_3,3470,279,1156.67,4.140811456
2009,F26,695,458,Jul-00,1.5,dry,8_4,3751,305,2500.67,8.189956332
2009,F27,788,488,Jul-00,1.5,dry,7_3.5,2234,325,1489.33,4.577868852
2009,F12,344,399,Feb-01,2,micro,9_3,2533,200,1266.50,6.348370927
2009,F72,344_A2,429,Jul-99,3,micro,7_3.5,6485,143,2161.67,15.11655012
2009,F85,695,800,Nov-98,2.3,dry,5_2.5,1872,348,813.91,2.34
2009,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,7410,317,2117.14,6.687725632
2009,F81,741_816,187,Jul-00,1.2,dry,8_4,1078,156,898.33,5.764705882
2009,F84,695,480,Nov-98,1.5,dry,5_2.5,5040,320,3360.00,10.5
2009,Trial,mix,294,Jan-00,1,dry,5_2.5,1432,294,1432.00,4.870748299
2009,F79,695,,Oct-00,1,,,20,0,20.00,#DIV/0!
2009,F83,695,,Nov-00,1,,,30,0,30.00,#DIV/0!
2009,F73,695,100,Aug-99,1.3,micro,9_3,1824,77,1403.08,18.24
2010,F24,816,1032,Oct-99,3,overhead,7_3.5,6492,344,2164.00,6.290697674
2010,F121,344,458,Apr-91,1.2,micro,9_3,10566,382,8805.00,23.069869
2010,F122,344,838,Jul-00,3,micro,9_3,6426,279,2142.00,7.668257757
2010,F26,695,458,Jul-00,1.5,dry,8_4,3304,305,2202.67,7.213973799
2010,F27,788,488,Jul-00,1.5,dry,7_3.5,2723,325,1815.33,5.579918033
2010,F12,344,399,Feb-01,2,micro,9_3,3033,200,1516.50,7.601503759
2010,F72,344_A2,429,Jul-99,3,micro,7_3.5,10686,143,3562.00,24.90909091
2010,F85,695,800,Nov-98,2.3,dry,5_2.5,3058,348,1329.57,3.8225
2010,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,11653,317,3329.43,10.51714801
2010,F81,741_816,187,Jul-00,1.2,dry,8_4,1911,156,1592.50,10.21925134
2010,F84,695,480,Nov-98,1.5,dry,5_2.5,2387,320,1591.33,4.972916667
2010,Trial,mix,294,Jan-00,1,dry,5_2.5,1647,294,1647.00,5.602040816
2010,F79,695,,Oct-00,1,,,88,0,88.00,#DIV/0!
2010,F83,695,,Nov-00,1,,,132,0,132.00,#DIV/0!
2010,F73,695,100,Aug-99,1.3,micro,9_3,1419,77,1091.54,14.19
2011,F24,816,1032,Oct-99,3,overhead,7_3.5,4389,344,1463.00,4.252906977
2011,F121,344,458,Apr-91,1.2,micro,9_3,8454,382,7045.00,18.45851528
2011,F122,344,838,Jul-00,3,micro,9_3,5491,279,1830.33,6.552505967
2011,F26,695,458,Jul-00,1.5,dry,8_4,3010,305,2006.67,6.572052402
2011,F27,788,488,Jul-00,1.5,dry,7_3.5,2086,325,1390.67,4.274590164
2011,F12,344,399,Feb-01,2,micro,9_3,3921,200,1960.50,9.827067669
2011,F72,344_A2,429,Jul-99,3,micro,7_3.5,5942,143,1980.67,13.85081585
2011,F85,695,800,Nov-98,2.3,dry,5_2.5,4225,348,1836.96,5.28125
2011,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,6200,317,1771.43,5.59566787
2011,F81,741_816,187,Jul-00,1.2,dry,8_4,1349,156,1124.17,7.213903743
2011,F84,695,480,Nov-98,1.5,dry,5_2.5,4095,320,2730.00,8.53125
2011,Trial,mix,294,Jan-00,1,dry,5_2.5,1259,294,1259.00,4.282312925
2011,F79,695,,Oct-00,1,,,450,0,450.00,#DIV/0!
2011,F83,695,,Nov-00,1,,,600,0,600.00,#DIV/0!
2011,F73,695,100,Aug-99,1.3,micro,9_3,1900,77,1461.54,19
2012,F24,816,1032,Oct-99,3,overhead,7_3.5,5007,344,1669.00,4.851744186
2012,F121,344,458,Apr-91,1.2,micro,9_3,8103,382,6752.50,17.69213974
2012,F122,344,838,Jul-00,3,micro,9_3,6005,279,2001.67,7.165871122
2012,F26,695,458,Jul-00,1.5,dry,8_4,3278,305,2185.33,7.15720524
2012,F27,788,488,Jul-00,1.5,dry,7_3.5,2694,325,1796.00,5.520491803
2012,F12,344,399,Feb-01,2,micro,9_3,5567,200,2783.50,13.95238095
2012,F72,344_A2,429,Jul-99,3,micro,7_3.5,9742,143,3247.33,22.70862471
2012,F85,695,800,Nov-98,2.3,dry,5_2.5,3238,348,1407.83,4.0475
2012,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,8779,317,2508.29,7.923285199
2012,F81,741_816,187,Jul-00,1.2,dry,8_4,1892,156,1576.67,10.11764706
2012,F84,695,480,Nov-98,1.5,dry,5_2.5,3051,320,2034.00,6.35625
2012,Trial,mix,294,Jan-00,1,dry,5_2.5,1473,294,1473.00,5.010204082
2012,F79,695,,Oct-00,1,,,685,0,685.00,#DIV/0!
2012,F83,695,,Nov-00,1,,,1312,0,1312.00,#DIV/0!
2012,F73,695,100,Aug-99,1.3,micro,9_3,2243,77,1725.38,22.43
2013,F24,816,1032,Oct-99,3,overhead,7_3.5,6461,344,2153.67,6.260658915
2013,F121,344,458,Apr-91,1.2,micro,9_3,6495,382,5412.50,14.18122271
2013,F122,344,838,Jul-00,3,micro,9_3,5132,279,1710.67,6.124105012
2013,F26,695,458,Jul-00,1.5,dry,8_4,4778,305,3185.33,10.43231441
2013,F27,788,488,Jul-00,1.5,dry,7_3.5,2216,325,1477.33,4.540983607
2013,F12,344,399,Feb-01,2,micro,9_3,5892,200,2946.00,14.76691729
2013,F72,344_A2,429,Jul-99,3,micro,7_3.5,10454,143,3484.67,24.36829837
2013,F85,695,800,Nov-98,2.3,dry,5_2.5,4422,348,1922.61,5.5275
2013,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,9880,317,2822.86,8.916967509
2013,F81,741_816,187,Jul-00,1.2,dry,8_4,2037,156,1697.50,10.89304813
2013,F84,695,480,Nov-98,1.5,dry,5_2.5,5222,320,3481.33,10.87916667
2013,Trial,mix,294,Jan-00,1,dry,5_2.5,1671,294,1671.00,5.683673469
2013,F79,695,,Oct-00,1,,,1071,0,1071.00,#DIV/0!
2013,F83,695,,Nov-00,1,,,1909,0,1909.00,#DIV/0!
2013,F73,695,100,Aug-99,1.3,micro,9_3,2109,77,1622.31,21.09
2014,F24,816,1032,Oct-99,3,overhead,7_3.5,6737,344,2245.67,6.528100775
2014,F121,344,458,Apr-91,1.2,micro,9_3,9851,382,8209.17,21.50873362
2014,F122,344,838,Jul-00,3,micro,9_3,7155,279,2385.00,8.538186158
2014,F26,695,458,Jul-00,1.5,dry,8_4,4484,305,2989.33,9.790393013
2014,F27,788,488,Jul-00,1.5,dry,7_3.5,2641,325,1760.67,5.411885246
2014,F12,344,399,Feb-01,2,micro,9_3,7089,200,3544.50,17.76691729
2014,F72,344_A2,429,Jul-99,3,micro,7_3.5,10647,143,3549.00,24.81818182
2014,F85,695,800,Nov-98,2.3,dry,5_2.5,6032,348,2622.61,7.54
2014,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,11632,317,3323.43,10.49819495
2014,F81,741_816,187,Jul-00,1.2,dry,8_4,1934,156,1611.67,10.34224599
2014,F84,695,480,Nov-98,1.5,dry,5_2.5,4769,320,3179.33,9.935416667
2014,Trial,mix,294,Jan-00,1,dry,5_2.5,2039,294,2039.00,6.93537415
2014,F79,695,,Oct-00,1,,,1142,0,1142.00,#DIV/0!
2014,F83,695,,Nov-00,1,,,1577,0,1577.00,#DIV/0!
2014,F73,695,100,Aug-99,1.3,micro,9_3,2792,77,2147.69,27.92
2015,F24,816,1032,Oct-99,3,overhead,7_3.5,6483,344,2161.00,6.281976744
2015,F121,344,458,Apr-91,1.2,micro,9_3,11849,382,9874.17,25.87117904
2015,F122,344,838,Jul-00,3,micro,9_3,8048,279,2682.67,9.603818616
2015,F26,695,458,Jul-00,1.5,dry,8_4,5954,305,3969.33,13
2015,F27,788,488,Jul-00,1.5,dry,7_3.5,1353,325,902.00,2.772540984
2015,F12,344,399,Feb-01,2,micro,9_3,8465,200,4232.50,21.21553885
2015,F72,344_A2,429,Jul-99,3,micro,7_3.5,7233,143,2411.00,16.86013986
2015,F85,695,800,Nov-98,2.3,dry,5_2.5,5405,348,2350.00,6.75625
2015,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,4522,317,1292.00,4.081227437
2015,F81,741_816,187,Jul-00,1.2,dry,8_4,770,156,641.67,4.117647059
2015,F84,695,480,Nov-98,1.5,dry,5_2.5,6096,320,4064.00,12.7
2015,Trial,mix,294,Jan-00,1,dry,5_2.5,1234,294,1234.00,4.197278912
2015,F79,695,,Oct-00,1,,,1152,0,1152.00,#DIV/0!
2015,F83,695,,Nov-00,1,,,2032,0,2032.00,#DIV/0!
2015,F73,695,100,Aug-99,1.3,micro,9_3,1539,77,1183.85,15.39
2016,F24,816,1032,Oct-99,3,overhead,7_3.5,4228,344,1409.33,4.096899225
2016,F121,344,458,Apr-91,1.2,micro,9_3,9014,382,7511.67,19.68122271
2016,F122,344,838,Jul-00,3,micro,9_3,6951,279,2317.00,8.294749403
2016,F26,695,458,Jul-00,1.5,dry,8_4,4390,305,2926.67,9.585152838
2016,F27,788,488,Jul-00,1.5,dry,7_3.5,1424,325,949.33,2.918032787
2016,F12,344,399,Feb-01,2,micro,9_3,6579,200,3289.50,16.4887218
2016,F72,344_A2,429,Jul-99,3,micro,7_3.5,9102,143,3034.00,21.21678322
2016,F85,695,800,Nov-98,2.3,dry,5_2.5,4927,348,2142.17,6.15875
2016,F77/78,344_A2,1108,Jul-00,3.5,dry,7_3.5,13445,317,3841.43,12.13447653
2016,F81,741_816,187,Jul-00,1.2,dry,8_4,891,156,742.50,4.764705882
2016,F84,695,480,Nov-98,1.5,dry,5_2.5,5252,320,3501.33,10.94166667
2016,Trial,mix,294,Jan-00,1,dry,5_2.5,1241,294,1241.00,4.221088435
2016,F79,695,,Oct-00,1,,,1529,0,1529.00,#DIV/0!
2016,F83,695,,Nov-00,1,,,2554,0,2554.00,#DIV/0!
2016,F73,695,100,Aug-99,1.3,micro,9_3,2384,77,1833.85,23.84